block,component,device,latency_ms,order_position,training_seed,variant
20,end_to_end_policy,cpu,0.822159,4,42,FastSwitchGLOBE
20,end_to_end_policy,cpu,2.292894,5,42,SwitchGLOBE Exact
20,end_to_end_policy,cpu,1.562937,6,42,Predictive Student (No Switch)
20,end_to_end_policy,cpu,2.233589,7,42,Privileged Global Teacher
21,end_to_end_policy,cpu,0.877361,0,42,FastSwitchGLOBE
21,end_to_end_policy,cpu,0.779595,1,42,Historical KD+PPO Local
21,end_to_end_policy,cpu,0.556072,2,42,Predictive Prior Only
21,end_to_end_policy,cpu,2.233322,3,42,SwitchGLOBE Exact
21,end_to_end_policy,cpu,2.278586,4,42,Privileged Global Teacher
21,end_to_end_policy,cpu,1.621338,5,42,Predictive Student (No Switch)
21,end_to_end_policy,cpu,1.02485,6,42,Geo-Residual Student
21,end_to_end_policy,cpu,0.788328,7,42,Historical PPO-only Local (No KD)
22,end_to_end_policy,cpu,1.597554,0,42,Predictive Student (No Switch)
22,end_to_end_policy,cpu,1.016907,1,42,Geo-Residual Student
22,end_to_end_policy,cpu,2.243116,2,42,SwitchGLOBE Exact
22,end_to_end_policy,cpu,2.226787,3,42,Privileged Global Teacher
22,end_to_end_policy,cpu,0.794627,4,42,Historical PPO-only Local (No KD)
22,end_to_end_policy,cpu,0.519773,5,42,Predictive Prior Only
22,end_to_end_policy,cpu,0.750325,6,42,Historical KD+PPO Local
22,end_to_end_policy,cpu,0.878436,7,42,FastSwitchGLOBE
23,end_to_end_policy,cpu,0.800569,0,42,Historical KD+PPO Local
23,end_to_end_policy,cpu,1.049649,1,42,Geo-Residual Student
23,end_to_end_policy,cpu,0.491451,2,42,Predictive Prior Only
23,end_to_end_policy,cpu,0.739641,3,42,Historical PPO-only Local (No KD)
23,end_to_end_policy,cpu,0.864096,4,42,FastSwitchGLOBE
23,end_to_end_policy,cpu,2.255792,5,42,SwitchGLOBE Exact
23,end_to_end_policy,cpu,2.24524,6,42,Privileged Global Teacher
23,end_to_end_policy,cpu,1.603999,7,42,Predictive Student (No Switch)
24,end_to_end_policy,cpu,0.494815,0,42,Predictive Prior Only
24,end_to_end_policy,cpu,2.243383,1,42,SwitchGLOBE Exact
24,end_to_end_policy,cpu,2.215356,2,42,Privileged Global Teacher
24,end_to_end_policy,cpu,0.77457,3,42,Historical PPO-only Local (No KD)
24,end_to_end_policy,cpu,1.049373,4,42,Geo-Residual Student
24,end_to_end_policy,cpu,0.740339,5,42,Historical KD+PPO Local
24,end_to_end_policy,cpu,1.538767,6,42,Predictive Student (No Switch)
24,end_to_end_policy,cpu,0.855552,7,42,FastSwitchGLOBE
25,end_to_end_policy,cpu,2.310853,0,42,SwitchGLOBE Exact
25,end_to_end_policy,cpu,0.768834,1,42,Historical KD+PPO Local
25,end_to_end_policy,cpu,0.763435,2,42,Historical PPO-only Local (No KD)
25,end_to_end_policy,cpu,1.046265,3,42,Geo-Residual Student
25,end_to_end_policy,cpu,1.551489,4,42,Predictive Student (No Switch)
25,end_to_end_policy,cpu,2.236831,5,42,Privileged Global Teacher
25,end_to_end_policy,cpu,0.551517,6,42,Predictive Prior Only
25,end_to_end_policy,cpu,0.843276,7,42,FastSwitchGLOBE
26,end_to_end_policy,cpu,0.55369,0,42,Predictive Prior Only
26,end_to_end_policy,cpu,0.722822,1,42,Historical PPO-only Local (No KD)
26,end_to_end_policy,cpu,1.05325,2,42,Geo-Residual Student
