backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,gate_decision_steps,gate_outcome_divergence_steps__0.0000,gate_outcome_divergence_steps__0.0200,gate_outcome_divergence_steps__0.0500,gate_outcome_divergence_steps__0.1000,gate_outcome_divergence_steps__0.2000,gate_outcome_divergence_steps__0.3000,gate_outcome_divergence_steps__0.5000,gate_outcome_divergence_steps__1.0000,gate_skip_steps__0.0000,gate_skip_steps__0.0200,gate_skip_steps__0.0500,gate_skip_steps__0.1000,gate_skip_steps__0.2000,gate_skip_steps__0.3000,gate_skip_steps__0.5000,gate_skip_steps__1.0000,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
0.0,0.0,0.0,0.0,6.9006266593933105,1,,,2.0,4,0.8169165,0.89622855,0.90327851,1.633833,2,1,,0,,0.8961250000000001,1100020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.02230755239725113,SwitchGLOBE Exact,7.9570508239596,0.0176924467086792,0.0,1.0,3010,3.125,,1.0,heldout_medium,2,0.0,0.0,0.5,10.87357783317566,42,2,1.5167529317942154
0.0,0.0,0.0,0.0,4.950976848602295,1,,,2.0,4,0.653313,0.6714444,0.6730560800000001,1.306626,2,1,,0,,0.765749,1100021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.14661765098571777,0.0,1.0,3010,3.25,,2.0,heldout_medium,2,0.0,0.0,0.5,10.782589030265807,42,2,0.8759954754427355
0.0,0.0,0.0,0.0,6.061603546142578,1,,,2.0,4,0.7704169999999999,0.8438795,0.8504094999999999,1.5408339999999998,2,1,,0,,0.9088339999999999,1100022,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.059296369552612305,0.0,1.0,3010,2.625,,2.0,heldout_medium,2,0.0,0.0,0.5,10.809703159332276,42,2,1.2152002564922668
0.0,0.0,0.0,0.0,6.721601247787476,1,,,2.0,4,0.6858545,0.70346075,0.70502575,1.371709,2,1,,0,,0.806584,1100023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.07531803846359253,0.0,1.0,3010,2.75,,2.0,heldout_medium,2,0.0,0.0,0.5,10.783932304382324,42,2,1.426146955137927
0.0,0.0,0.0,0.0,5.999647617340088,1,,,2.0,4,0.6517915000000001,0.66026635,0.6610196700000001,1.3035830000000002,2,1,,0,,0.739875,1100024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,8.21324739472976,0.2432948350906372,0.0,1.0,3010,3.125,,2.0,heldout_medium,2,0.0,0.0,0.5,10.992956733703613,42,2,1.1249589641282256
0.0,0.0,0.0,0.0,6.46799898147583,1,,,2.0,4,0.77825,0.7916753,0.79286866,1.5565,2,1,,0,,1.4954589999999999,1100025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.11597800254821777,0.0,1.0,3010,3.125,,2.0,heldout_medium,2,0.0,0.0,0.5,11.035424661636352,42,2,1.318751270920373
0.0,0.0,0.0,0.0,4.231948375701904,1,,,2.0,4,0.6871455,0.70471395,0.7062755900000001,1.374291,2,1,,0,,0.986,1100026,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.37028998136520386,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,10.642943477630615,42,2,0.579955960788574
0.0,0.0,0.0,0.0,4.981682300567627,1,,,2.0,4,0.629667,0.635967,0.636527,1.259334,2,1,,0,,1.244125,1100027,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.032073117792606354,SwitchGLOBE Exact,12.0,0.007926881313323975,0.0,1.0,3010,3.0,,1.0,heldout_medium,2,0.0,0.0,0.5,10.79241293668747,42,2,1.0483940065130426
0.0,0.0,0.0,0.0,4.864949941635132,1,,,2.0,4,0.6651665,0.70382915,0.70726583,1.330333,2,1,,0,,0.704084,1100028,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,10.229607309053891,0.3406006693840027,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,10.700191497802734,42,2,0.7448762078498596
0.0,0.0,0.0,0.0,6.631612539291382,1,,,2.0,4,0.6373329999999999,0.6384958,0.6385991599999999,1.2746659999999999,2,1,,0,,0.382834,1100029,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.015938080847263336,SwitchGLOBE Exact,5.154364168098071,0.024061918258666992,0.0,1.0,3010,3.25,,1.0,heldout_medium,2,0.0,0.0,0.5,11.047747611999512,42,2,1.4175314730174229
