action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[4,1]",0.0,0.0,0.0,0.0,7.127788305282593,1,,,2.0,4,1.5879385,1.60869295,1.61053779,3.175877,2,1,,0,,2.431587,1100031,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.09418672323226929,0.0,"[6,4,1]",1.0,3490,2.375,,0.0,heldout_medium,2,0.0,0.0,0.5,11.132725095748901,314,2,1.5881081270877253
"[6,5]",0.0,0.0,0.0,0.0,5.803756952285767,1,,,2.0,4,1.608395,1.614929,1.6155098,3.21679,2,1,,0,,1.8595920000000001,1100032,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.2413022518157959,0.0,"[0,6,5]",1.0,3490,3.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.954375696182252,314,2,1.0548205534210844
"[3,2]",0.0,0.0,0.0,0.0,5.163137316703796,1,,,2.0,4,1.5492629999999998,1.5683601,1.57005762,3.0985259999999997,2,1,,0,,1.906298,1100033,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.017483055591583252,0.0,"[5,3,2]",1.0,3490,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.60267481803894,314,2,1.0603683265610657
"[5,6,7]",0.0,0.0,0.0,0.0,7.831977963447571,1,,,1.0,4,1.54148,1.5581309,1.55961098,4.6286760000000005,3,1,,0,,2.507137,1100034,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.23374032974243164,0.0,"[1,5,6,7]",1.5,5235,4.375,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.03776969909668,314,3,1.3399084450212664
"[0,3,4]",0.0,0.0,0.0,0.0,9.343380212783813,1,,,3.0,6,1.54118,1.5611294,1.5629026799999999,4.641093,3,1,,0,,2.1200390000000002,1100035,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.0011911392211914062,0.0,"[1,0,3,4]",1.0,5235,3.875,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.395066595077516,314,3,1.9025007236626443
"[6,2]",0.0,0.0,0.0,0.0,4.365717887878418,1,,,2.0,4,1.5566785,1.56800005,1.56900641,3.113357,2,1,,0,,1.3537409999999999,1100036,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.3258824348449707,0.0,"[4,6,2]",1.0,3490,2.625,,0.0,heldout_medium,2,0.0,0.0,0.5,10.653021669387817,314,2,0.6285837192197619
"[4,1]",0.0,0.0,0.0,0.0,4.4736204743385315,1,,,2.0,4,1.5941235,1.59847005,1.59885641,3.188247,2,1,,0,,1.9065860000000001,1100037,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.09817814826965332,0.0,"[6,4,1]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,10.68010963201523,314,2,0.8601909637396263
"[1,7]",0.0,0.0,0.0,0.0,5.944490909576416,1,,,2.0,4,1.567129,1.5687193000000001,1.5688606600000001,3.134258,2,1,,0,,2.485119,1100038,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.16591161489486694,0.0,"[4,1,7]",1.0,3490,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.926453447341919,314,2,1.1208522176914997
"[6,5,3,4,0]",0.0,0.0,0.0,0.0,13.213269352912903,1,,,2.0,7,1.549146,1.584118,1.5903076,7.741898,5,1,,0,,3.539157,1100039,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,10005,0,1.0,0.0,Fixed Manual Prior,11.408637157423788,0.0380784273147583,0.0,"[7,6,5,3,4,0]",1.25,8725,7.75,,0.0,heldout_medium,5,0.0,0.0,0.2,10.606355476379395,314,5,2.390918769168228
"[5,1]",0.0,0.0,0.0,0.0,4.539848566055298,1,,,2.0,4,1.5428384999999998,1.5547414499999999,1.5557994899999998,3.0856769999999996,2,1,,0,,1.734663,1100040,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.3303654193878174,0.0,"[2,5,1]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,10.699844121932983,314,2,0.6649402104863249
