method,metric,metric_label,unit,higher_is_better,count,mean,standard_deviation,ci95_low,ci95_high
Geo-Residual Student,mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,2.412642857142857,0.0023904572186686504,2.409675188312662,2.4156105259730523
Predictive Prior Only,mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,2.9632142857142854,0.006892949666292369,2.954656930362762,2.971771641065809
Predictive Student (No Switch),mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,2.884571428571429,0.16627011923680216,2.6781529047851116,3.090989952357746
SwitchGLOBE Exact,mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,2.9595,0.0037338085824815156,2.9548646075480414,2.9641353924519582
FastSwitchGLOBE,mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,3.056,0.0714640090663597,2.9672799381930988,3.1447200618069013
FastSwitchGLOBE + Top-2,mean_transmission_attempts,Transmission attempts,attempts / episode,False,5,3.056,0.0714640090663597,2.9672799381930988,3.1447200618069013
Geo-Residual Student,overall_pdr,Overall PDR,ratio,True,5,0.7557142857142858,0.0011007882148159063,0.7543476957380071,0.7570808756905645
Predictive Prior Only,overall_pdr,Overall PDR,ratio,True,5,0.8545,0.0007405871911902618,0.8535805869663038,0.8554194130336963
Predictive Student (No Switch),overall_pdr,Overall PDR,ratio,True,5,0.8391428571428572,0.034861789795635874,0.7958631673273027,0.8824225469584117
SwitchGLOBE Exact,overall_pdr,Overall PDR,ratio,True,5,0.8542142857142858,0.0011952286093344113,0.852730451299188,0.8556981201293836
FastSwitchGLOBE,overall_pdr,Overall PDR,ratio,True,5,0.8375,0.015290553306148298,0.8185173141402757,0.8564826858597243
FastSwitchGLOBE + Top-2,overall_pdr,Overall PDR,ratio,True,5,0.8375,0.015290553306148298,0.8185173141402757,0.8564826858597243
Geo-Residual Student,p95_success_delay_steps,P95 successful delay,steps,False,5,4.0,0.0,4.0,4.0
Predictive Prior Only,p95_success_delay_steps,P95 successful delay,steps,False,5,6.0,0.0,6.0,6.0
Predictive Student (No Switch),p95_success_delay_steps,P95 successful delay,steps,False,5,6.0,0.0,6.0,6.0
SwitchGLOBE Exact,p95_success_delay_steps,P95 successful delay,steps,False,5,6.0,0.0,6.0,6.0
FastSwitchGLOBE,p95_success_delay_steps,P95 successful delay,steps,False,5,6.0,0.0,6.0,6.0
FastSwitchGLOBE + Top-2,p95_success_delay_steps,P95 successful delay,steps,False,5,6.0,0.0,6.0,6.0
Geo-Residual Student,switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.0,0.0,0.0,0.0
Predictive Prior Only,switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.0,0.0,0.0,0.0
Predictive Student (No Switch),switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.0,0.0,0.0,0.0
SwitchGLOBE Exact,switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.09806059971835827,0.06721631785118824,0.01461389763574411,0.18150730180097244
FastSwitchGLOBE,switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.0,0.0,0.0,0.0
FastSwitchGLOBE + Top-2,switch_activation_rate,Switch activation rate,switch steps / routing step,,5,0.0,0.0,0.0,0.0
