connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.91,0.91,1.3259132356781451,1.206581044467112,Shortest-Oracle Only,4.0,ood_link_loss,123
0.97,0.97,1.2022352972984989,1.1661682383795438,Shortest-Oracle Only,3.0,ood_fast_mobility,123
0.98,0.98,1.2173335822540265,1.1929869106089461,Shortest-Oracle Only,3.0,ood_sparse,123
0.98,0.98,1.4509326844378718,1.4219140307491145,Shortest-Oracle Only,4.0,ood_nodes_10,123
0.987012987012987,0.38,1.8009419224613672,0.7383861882091606,Shortest-Oracle Only,3.950000000000003,unconditional_sparse,123
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest-Oracle Only,4.0,structural_hole_45,123
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest-Oracle Only,4.0,structural_hole_225_link_loss,123
0.0,0.0,181.40585244107663,0.907029262205383,Shortest-Oracle Only,nan,predictive_break_45,123
0.06395348837209303,0.055,12.352658818053762,1.297029175895645,Shortest-Oracle Only,6.0,predictive_break_225_link_loss,123
0.785,0.785,1.4083699867588264,1.1055704396056787,Shortest-Oracle Only,4.0,ood_link_loss_30,123
0.97,0.97,1.2119774198164477,1.175618097221954,Shortest-Oracle Only,3.0,ood_extreme_mobility,123
0.975,0.975,1.7332748510248959,1.6899429797492735,Shortest-Oracle Only,5.0,ood_nodes_16,123
0.94,0.93,2.1067528596499163,1.9803476880709214,Shortest-Oracle Only,6.0,ood_nodes_24,123
0.98,0.98,1.296887554023,1.27094980294254,Shortest-Oracle Only,4.0,heldout_medium,314
0.91,0.91,1.3259132356781451,1.206581044467112,Shortest-Oracle Only,4.0,ood_link_loss,314
0.965,0.965,1.2040759627527435,1.1619333040563973,Shortest-Oracle Only,3.0,ood_fast_mobility,314
0.98,0.98,1.2173335822540265,1.1929869106089461,Shortest-Oracle Only,3.0,ood_sparse,314
0.98,0.98,1.4509326844378718,1.4219140307491145,Shortest-Oracle Only,4.0,ood_nodes_10,314
0.987012987012987,0.38,1.7985335515624674,0.7373987561406117,Shortest-Oracle Only,3.950000000000003,unconditional_sparse,314
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest-Oracle Only,4.0,structural_hole_45,314
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest-Oracle Only,4.0,structural_hole_225_link_loss,314
0.0,0.0,181.40585244107663,0.907029262205383,Shortest-Oracle Only,nan,predictive_break_45,314
0.06395348837209303,0.055,12.352658818053762,1.297029175895645,Shortest-Oracle Only,6.0,predictive_break_225_link_loss,314
0.785,0.785,1.4083699867588264,1.1055704396056787,Shortest-Oracle Only,4.0,ood_link_loss_30,314
0.97,0.97,1.2119774198164477,1.175618097221954,Shortest-Oracle Only,3.0,ood_extreme_mobility,314
0.975,0.975,1.7332748510248959,1.6899429797492735,Shortest-Oracle Only,5.0,ood_nodes_16,314
0.935,0.925,2.1176234307463457,1.9799779077478337,Shortest-Oracle Only,6.0,ood_nodes_24,314
0.98,0.98,1.296887554023,1.27094980294254,Shortest-Oracle Only,4.0,heldout_medium,2718
0.91,0.91,1.3272973611802288,1.2078405986740082,Shortest-Oracle Only,4.0,ood_link_loss,2718
0.965,0.965,1.2040759627527435,1.1619333040563973,Shortest-Oracle Only,3.0,ood_fast_mobility,2718
0.98,0.98,1.2165227332879598,1.1921922786222006,Shortest-Oracle Only,3.0,ood_sparse,2718
0.98,0.98,1.4496775896290532,1.4206840378364722,Shortest-Oracle Only,4.0,ood_nodes_10,2718
0.987012987012987,0.38,1.7985335515624674,0.7373987561406117,Shortest-Oracle Only,3.950000000000003,unconditional_sparse,2718
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest-Oracle Only,4.0,structural_hole_45,2718
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest-Oracle Only,4.0,structural_hole_225_link_loss,2718
0.0,0.0,181.40585244107663,0.907029262205383,Shortest-Oracle Only,nan,predictive_break_45,2718
0.06395348837209303,0.055,12.352658818053762,1.297029175895645,Shortest-Oracle Only,6.0,predictive_break_225_link_loss,2718
0.785,0.785,1.4083699867588264,1.1055704396056787,Shortest-Oracle Only,4.0,ood_link_loss_30,2718
0.97,0.97,1.2119774198164477,1.175618097221954,Shortest-Oracle Only,3.0,ood_extreme_mobility,2718
0.975,0.975,1.7315698409040754,1.6882805948814734,Shortest-Oracle Only,5.0,ood_nodes_16,2718
0.935,0.925,2.120878291408076,1.983021202466551,Shortest-Oracle Only,6.0,ood_nodes_24,2718
0.985,0.985,1.3033466836574543,1.2837964834025926,Risk-Oracle Only,4.0,heldout_medium,42
0.91,0.91,1.3247091680068739,1.2054853428862553,Risk-Oracle Only,4.0,ood_link_loss,42
0.965,0.96,1.2062397999301808,1.1640214069326245,Risk-Oracle Only,3.0,ood_fast_mobility,42
0.975,0.975,1.2235710460237665,1.1929817698731724,Risk-Oracle Only,3.0,ood_sparse,42
0.975,0.975,1.4529131248843508,1.4165902967622417,Risk-Oracle Only,4.0,ood_nodes_10,42
0.987012987012987,0.38,1.8243844026971112,0.73887568309233,Risk-Oracle Only,4.0,unconditional_sparse,42
1.0,1.0,2.711468279642881,2.7114682796428804,Risk-Oracle Only,4.0,structural_hole_45,42
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Risk-Oracle Only,4.0,structural_hole_225_link_loss,42
1.0,1.0,4.235826826754887,4.235826826754887,Risk-Oracle Only,6.0,predictive_break_45,42
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Risk-Oracle Only,6.0,predictive_break_225_link_loss,42
0.775,0.775,1.4139309211595843,1.0957964638986777,Risk-Oracle Only,4.0,ood_link_loss_30,42
0.955,0.955,1.2041714187266104,1.1499837048839128,Risk-Oracle Only,4.0,ood_extreme_mobility,42
0.97,0.965,1.7455553042513203,1.6931886451237808,Risk-Oracle Only,5.0,ood_nodes_16,42
0.935,0.925,2.11847776352575,1.9807767088965766,Risk-Oracle Only,6.0,ood_nodes_24,42
0.985,0.985,1.3033466836574543,1.2837964834025926,Risk-Oracle Only,4.0,heldout_medium,77
0.91,0.91,1.3247091680068739,1.2054853428862553,Risk-Oracle Only,4.0,ood_link_loss,77
0.965,0.965,1.197037714705412,1.1551413946907225,Risk-Oracle Only,3.0,ood_fast_mobility,77
0.975,0.975,1.2235710460237665,1.1929817698731724,Risk-Oracle Only,3.0,ood_sparse,77
0.975,0.975,1.4529131248843508,1.4165902967622417,Risk-Oracle Only,4.0,ood_nodes_10,77
0.987012987012987,0.38,1.8243844026971112,0.73887568309233,Risk-Oracle Only,4.0,unconditional_sparse,77
1.0,1.0,2.711468279642881,2.7114682796428804,Risk-Oracle Only,4.0,structural_hole_45,77
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Risk-Oracle Only,4.0,structural_hole_225_link_loss,77
1.0,1.0,4.235826826754887,4.235826826754887,Risk-Oracle Only,6.0,predictive_break_45,77
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Risk-Oracle Only,6.0,predictive_break_225_link_loss,77
0.775,0.775,1.4139309211595843,1.0957964638986777,Risk-Oracle Only,4.0,ood_link_loss_30,77
0.955,0.955,1.2041714187266104,1.1499837048839128,Risk-Oracle Only,4.0,ood_extreme_mobility,77
0.97,0.965,1.7455553042513203,1.6931886451237808,Risk-Oracle Only,5.0,ood_nodes_16,77
0.935,0.925,2.1156211962470106,1.9781058184909548,Risk-Oracle Only,6.0,ood_nodes_24,77
0.985,0.985,1.3033466836574543,1.2837964834025926,Risk-Oracle Only,4.0,heldout_medium,123
0.91,0.91,1.3247091680068739,1.2054853428862553,Risk-Oracle Only,4.0,ood_link_loss,123
0.965,0.965,1.197037714705412,1.1551413946907225,Risk-Oracle Only,3.0,ood_fast_mobility,123
0.975,0.975,1.2235710460237665,1.1929817698731724,Risk-Oracle Only,3.0,ood_sparse,123
0.975,0.975,1.4529131248843508,1.4165902967622417,Risk-Oracle Only,4.0,ood_nodes_10,123
0.987012987012987,0.38,1.8243844026971112,0.73887568309233,Risk-Oracle Only,4.0,unconditional_sparse,123
1.0,1.0,2.711468279642881,2.7114682796428804,Risk-Oracle Only,4.0,structural_hole_45,123
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Risk-Oracle Only,4.0,structural_hole_225_link_loss,123
1.0,1.0,4.235826826754887,4.235826826754887,Risk-Oracle Only,6.0,predictive_break_45,123
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Risk-Oracle Only,6.0,predictive_break_225_link_loss,123
0.775,0.775,1.4139309211595843,1.0957964638986777,Risk-Oracle Only,4.0,ood_link_loss_30,123
0.95,0.95,1.2131773774730006,1.1525185085993506,Risk-Oracle Only,4.0,ood_extreme_mobility,123
0.97,0.965,1.7455553042513203,1.6931886451237808,Risk-Oracle Only,5.0,ood_nodes_16,123
0.935,0.925,2.1154980650065904,1.977990690781162,Risk-Oracle Only,6.0,ood_nodes_24,123
0.985,0.985,1.3033466836574543,1.2837964834025926,Risk-Oracle Only,4.0,heldout_medium,314
0.91,0.91,1.3247091680068739,1.2054853428862553,Risk-Oracle Only,4.0,ood_link_loss,314
0.965,0.965,1.197037714705412,1.1551413946907225,Risk-Oracle Only,3.0,ood_fast_mobility,314
0.975,0.975,1.2235710460237665,1.1929817698731724,Risk-Oracle Only,3.0,ood_sparse,314
0.975,0.975,1.4529131248843508,1.4165902967622417,Risk-Oracle Only,4.0,ood_nodes_10,314
0.987012987012987,0.38,1.8243844026971112,0.73887568309233,Risk-Oracle Only,4.0,unconditional_sparse,314
1.0,1.0,2.711468279642881,2.7114682796428804,Risk-Oracle Only,4.0,structural_hole_45,314
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Risk-Oracle Only,4.0,structural_hole_225_link_loss,314
1.0,1.0,4.235826826754887,4.235826826754887,Risk-Oracle Only,6.0,predictive_break_45,314
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Risk-Oracle Only,6.0,predictive_break_225_link_loss,314
0.775,0.775,1.4139309211595843,1.0957964638986777,Risk-Oracle Only,4.0,ood_link_loss_30,314
0.95,0.95,1.2131773774730006,1.1525185085993506,Risk-Oracle Only,4.0,ood_extreme_mobility,314
0.97,0.965,1.7455553042513203,1.6931886451237808,Risk-Oracle Only,5.0,ood_nodes_16,314
0.935,0.925,2.1156211962470106,1.9781058184909548,Risk-Oracle Only,6.0,ood_nodes_24,314
0.985,0.985,1.3033466836574543,1.2837964834025926,Risk-Oracle Only,4.0,heldout_medium,2718
0.91,0.91,1.3247091680068739,1.2054853428862553,Risk-Oracle Only,4.0,ood_link_loss,2718
0.96,0.96,1.2110291370807396,1.16258797159751,Risk-Oracle Only,3.0,ood_fast_mobility,2718
0.975,0.975,1.2235710460237665,1.1929817698731724,Risk-Oracle Only,3.0,ood_sparse,2718
0.975,0.975,1.4529131248843508,1.4165902967622417,Risk-Oracle Only,4.0,ood_nodes_10,2718
0.987012987012987,0.38,1.8243844026971112,0.73887568309233,Risk-Oracle Only,4.0,unconditional_sparse,2718
1.0,1.0,2.711468279642881,2.7114682796428804,Risk-Oracle Only,4.0,structural_hole_45,2718
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Risk-Oracle Only,4.0,structural_hole_225_link_loss,2718
1.0,1.0,4.235826826754887,4.235826826754887,Risk-Oracle Only,6.0,predictive_break_45,2718
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Risk-Oracle Only,6.0,predictive_break_225_link_loss,2718
0.775,0.775,1.4139309211595843,1.0957964638986777,Risk-Oracle Only,4.0,ood_link_loss_30,2718
0.95,0.95,1.2151640397933994,1.1544058378037292,Risk-Oracle Only,4.0,ood_extreme_mobility,2718
0.965,0.96,1.7470634084390761,1.6859161891437089,Risk-Oracle Only,5.0,ood_nodes_16,2718
0.935,0.925,2.1156211962470106,1.9781058184909548,Risk-Oracle Only,6.0,ood_nodes_24,2718
0.985,0.985,1.3030020437524552,1.2834570130961682,Shortest+Risk (No Teacher),4.0,heldout_medium,42
0.91,0.91,1.3247091680068739,1.2054853428862553,Shortest+Risk (No Teacher),4.0,ood_link_loss,42
0.965,0.965,1.2039382041734532,1.1618003670273822,Shortest+Risk (No Teacher),3.0,ood_fast_mobility,42
0.98,0.98,1.2183948113050522,1.1940269150789513,Shortest+Risk (No Teacher),3.0,ood_sparse,42
0.98,0.98,1.447879525880637,1.4189219353630242,Shortest+Risk (No Teacher),4.0,ood_nodes_10,42
0.987012987012987,0.38,1.8325275369642569,0.742173652470524,Shortest+Risk (No Teacher),4.0,unconditional_sparse,42
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest+Risk (No Teacher),4.0,structural_hole_45,42
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest+Risk (No Teacher),4.0,structural_hole_225_link_loss,42
1.0,1.0,4.235826826754887,4.235826826754887,Shortest+Risk (No Teacher),6.0,predictive_break_45,42
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Shortest+Risk (No Teacher),6.0,predictive_break_225_link_loss,42
0.775,0.775,1.4139309211595843,1.0957964638986777,Shortest+Risk (No Teacher),4.0,ood_link_loss_30,42
0.97,0.97,1.2005627882597707,1.1645459046119777,Shortest+Risk (No Teacher),4.0,ood_extreme_mobility,42
0.975,0.975,1.7340203714633466,1.6906698621767628,Shortest+Risk (No Teacher),5.0,ood_nodes_16,42
0.935,0.925,2.1191197675839644,1.9813769826910066,Shortest+Risk (No Teacher),6.0,ood_nodes_24,42
0.985,0.985,1.3030020437524552,1.2834570130961682,Shortest+Risk (No Teacher),4.0,heldout_medium,77
0.91,0.91,1.3247091680068739,1.2054853428862553,Shortest+Risk (No Teacher),4.0,ood_link_loss,77
0.965,0.965,1.2039382041734532,1.1618003670273822,Shortest+Risk (No Teacher),3.0,ood_fast_mobility,77
0.98,0.98,1.2204847421475784,1.1960750473046269,Shortest+Risk (No Teacher),3.0,ood_sparse,77
0.98,0.98,1.447879525880637,1.4189219353630242,Shortest+Risk (No Teacher),4.0,ood_nodes_10,77
0.987012987012987,0.38,1.8325275369642569,0.742173652470524,Shortest+Risk (No Teacher),4.0,unconditional_sparse,77
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest+Risk (No Teacher),4.0,structural_hole_45,77
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest+Risk (No Teacher),4.0,structural_hole_225_link_loss,77
1.0,1.0,4.235826826754887,4.235826826754887,Shortest+Risk (No Teacher),6.0,predictive_break_45,77
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Shortest+Risk (No Teacher),6.0,predictive_break_225_link_loss,77
0.775,0.775,1.4139309211595843,1.0957964638986777,Shortest+Risk (No Teacher),4.0,ood_link_loss_30,77
0.97,0.97,1.2005627882597707,1.1645459046119777,Shortest+Risk (No Teacher),4.0,ood_extreme_mobility,77
0.975,0.975,1.7340203714633466,1.6906698621767628,Shortest+Risk (No Teacher),5.0,ood_nodes_16,77
0.935,0.925,2.120612185710869,1.982772393639662,Shortest+Risk (No Teacher),6.0,ood_nodes_24,77
0.985,0.985,1.3030020437524552,1.2834570130961682,Shortest+Risk (No Teacher),4.0,heldout_medium,123
0.91,0.91,1.3247091680068739,1.2054853428862553,Shortest+Risk (No Teacher),4.0,ood_link_loss,123
0.965,0.965,1.2047916817589208,1.1626239728973584,Shortest+Risk (No Teacher),3.0,ood_fast_mobility,123
0.98,0.98,1.2204847421475784,1.1960750473046269,Shortest+Risk (No Teacher),3.0,ood_sparse,123
0.98,0.98,1.447879525880637,1.4189219353630242,Shortest+Risk (No Teacher),4.0,ood_nodes_10,123
0.987012987012987,0.38,1.8325275369642569,0.742173652470524,Shortest+Risk (No Teacher),4.0,unconditional_sparse,123
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest+Risk (No Teacher),4.0,structural_hole_45,123
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest+Risk (No Teacher),4.0,structural_hole_225_link_loss,123
1.0,1.0,4.235826826754887,4.235826826754887,Shortest+Risk (No Teacher),6.0,predictive_break_45,123
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Shortest+Risk (No Teacher),6.0,predictive_break_225_link_loss,123
0.775,0.775,1.4139309211595843,1.0957964638986777,Shortest+Risk (No Teacher),4.0,ood_link_loss_30,123
0.97,0.97,1.2005627882597707,1.1645459046119777,Shortest+Risk (No Teacher),4.0,ood_extreme_mobility,123
0.975,0.975,1.7340203714633466,1.6906698621767628,Shortest+Risk (No Teacher),5.0,ood_nodes_16,123
0.935,0.925,2.120612185710869,1.982772393639662,Shortest+Risk (No Teacher),6.0,ood_nodes_24,123
0.985,0.985,1.3030020437524552,1.2834570130961682,Shortest+Risk (No Teacher),4.0,heldout_medium,314
0.91,0.91,1.3247091680068739,1.2054853428862553,Shortest+Risk (No Teacher),4.0,ood_link_loss,314
0.965,0.965,1.2047916817589208,1.1626239728973584,Shortest+Risk (No Teacher),3.0,ood_fast_mobility,314
0.98,0.98,1.2204847421475784,1.1960750473046269,Shortest+Risk (No Teacher),3.0,ood_sparse,314
