epoch,method,train_objective,validation_objective
39,Shortest-Oracle Only,1.0870793455947423,1.0445482034125835
40,Shortest-Oracle Only,1.077106460155939,1.0343675441604505
41,Shortest-Oracle Only,1.0671304302234303,1.0242152267498814
42,Shortest-Oracle Only,1.0569853014260107,1.0143737731884725
43,Shortest-Oracle Only,1.0471391089125246,1.004585238052808
44,Shortest-Oracle Only,1.0373561384439507,0.9948710541996219
45,Shortest-Oracle Only,1.027737419727371,0.9851449421637529
46,Shortest-Oracle Only,1.0183422241248392,0.9753036848347697
47,Shortest-Oracle Only,1.0084434178667125,0.9660056964028254
48,Shortest-Oracle Only,0.999213794945227,0.9565826619120003
49,Shortest-Oracle Only,0.9898279666744576,0.9473441731366661
50,Shortest-Oracle Only,0.9806602587092822,0.9381507546353856
51,Shortest-Oracle Only,0.9714771138336201,0.929150464727556
52,Shortest-Oracle Only,0.9625916972212619,0.92011797475853
53,Shortest-Oracle Only,0.9536585240917302,0.9112599865735483
54,Shortest-Oracle Only,0.9449530896296225,0.9024650054134494
55,Shortest-Oracle Only,0.9362045798631761,0.8939098876604946
56,Shortest-Oracle Only,0.9278030550786154,0.8853340313089094
57,Shortest-Oracle Only,0.9193108557991536,0.8770086820646703
58,Shortest-Oracle Only,0.9111087831181329,0.8687444674291068
59,Shortest-Oracle Only,0.9029591442461471,0.8606515768721544
60,Shortest-Oracle Only,0.8949395700828316,0.8527371282096478
61,Shortest-Oracle Only,0.887118179685764,0.8449453744437811
62,Shortest-Oracle Only,0.8795009518465576,0.8372183044592412
63,Shortest-Oracle Only,0.8718941256274687,0.8297238794682597
64,Shortest-Oracle Only,0.8644573124550189,0.8224460767497054
65,Shortest-Oracle Only,0.8572273478046062,0.8153216516236671
66,Shortest-Oracle Only,0.8502766959426485,0.8082131440397069
67,Shortest-Oracle Only,0.8433019563328945,0.8013548894917325
68,Shortest-Oracle Only,0.8366068653497772,0.7945998808782133
69,Shortest-Oracle Only,0.8299635690765712,0.7880960852742863
70,Shortest-Oracle Only,0.8236534890050174,0.7816525078277954
71,Shortest-Oracle Only,0.8173186755906031,0.7755028974351356
72,Shortest-Oracle Only,0.8113395201166959,0.7694373319777037
73,Shortest-Oracle Only,0.8053204252781913,0.763698890745592
74,Shortest-Oracle Only,0.7997005222920914,0.7580220109467701
75,Shortest-Oracle Only,0.794164819093953,0.7525113631096527
76,Shortest-Oracle Only,0.7888033260223889,0.7471698431896152
77,Shortest-Oracle Only,0.783643095071178,0.7419687584937334
78,Shortest-Oracle Only,0.7785830831414567,0.7369970464057403
79,Shortest-Oracle Only,0.7737471449494148,0.7321820367900155
80,Shortest-Oracle Only,0.7690990765596876,0.7275099025142966
81,Shortest-Oracle Only,0.7645298094703413,0.7230789413253625
82,Shortest-Oracle Only,0.7602274344432103,0.7187665545339104
83,Shortest-Oracle Only,0.7559977076463663,0.7146741366558212
84,Shortest-Oracle Only,0.7520419464059048,0.7106562122714529
85,Shortest-Oracle Only,0.7481775614950392,0.7067912365552231
86,Shortest-Oracle Only,0.7444373226033122,0.7031055462656258
87,Shortest-Oracle Only,0.7409183196107761,0.6995161898714528
88,Shortest-Oracle Only,0.7374150492013174,0.6961660178973257
89,Shortest-Oracle Only,0.7341935224178828,0.6928817464219178
90,Shortest-Oracle Only,0.7310206490401023,0.6897694339171899
91,Shortest-Oracle Only,0.7279902192247497,0.6868079840611991
92,Shortest-Oracle Only,0.7251660476298949,0.6839006414787592
93,Shortest-Oracle Only,0.7223763753809529,0.6811485071006634
94,Shortest-Oracle Only,0.7197479616696385,0.6785000607526427
95,Shortest-Oracle Only,0.7172006302702312,0.6759918327804945
96,Shortest-Oracle Only,0.714809250283448,0.6735654259033448
97,Shortest-Oracle Only,0.7124613749768297,0.671288530190913
98,Shortest-Oracle Only,0.7102953746849027,0.6690603846831737
99,Shortest-Oracle Only,0.7081568238778505,0.6669619911856609
100,Shortest-Oracle Only,0.7061394492941194,0.6649545821502173
