decision_steps,gate_margin,mean_outcome_divergence_rate_across_seeds,mean_skip_rate_across_seeds,outcome_divergence_rate_of_all_steps,outcome_divergence_rate_of_skipped,scope,seed_count,skip_rate
2109.0,0.0500,0.004652968036529681,0.4955824460119924,0.002370791844476055,0.004784688995215311,unconditional_sparse,5,0.4954954954954955
43467.0,0.1000,0.030123539507311593,0.8898961889729649,0.02740009662502588,0.030790310488353456,overall,5,0.8898934824119447
2342.0,0.1000,0.0030505860829834913,0.9773668288593662,0.0029888983774551663,0.0030581039755351682,heldout_medium,5,0.9773697694278395
2322.0,0.1000,0.018036377068574343,0.8675080128613754,0.015934539190353144,0.018371400198609732,ood_extreme_mobility,5,0.8673557278208441
2316.0,0.1000,0.007906004864207884,0.9300733636324743,0.007340241796200345,0.007892293407613741,ood_fast_mobility,5,0.9300518134715026
2454.0,0.1000,0.009969092869143157,0.9396964812451234,0.009372453137734311,0.00997398091934085,ood_link_loss,5,0.9396903015484923
2537.0,0.1000,0.0022947488006619904,0.8545343429466653,0.001970831690973591,0.0023062730627306273,ood_link_loss_30,5,0.8545526212061489
2599.0,0.1000,0.003982850125859675,0.9653757225433527,0.003847633705271258,0.0039856516540454365,ood_nodes_10,5,0.9653712966525587
2946.0,0.1000,0.0063112087371176104,0.9633167094314457,0.006109979633401222,0.006342494714587738,ood_nodes_16,5,0.9633401221995926
3688.0,0.1000,0.018765647529468472,0.9514342962622511,0.01789587852494577,0.018808777429467086,ood_nodes_24,5,0.9514642082429501
2234.0,0.1000,0.0027707930367504834,0.9691194911768541,0.0026857654431512983,0.002771362586605081,ood_sparse,5,0.9691136974037601
4565.0,0.1000,0.10438247011952191,0.7535596933187294,0.08608981380065718,0.11424418604651163,predictive_break_225_link_loss,5,0.7535596933187295
6000.0,0.1000,0.1,0.9333333333333333,0.1,0.10714285714285714,predictive_break_45,5,0.9333333333333333
3355.0,0.1000,0.0,0.7749627421758569,0.0,0.0,structural_hole_225_link_loss,5,0.7749627421758569
