ci95_high,ci95_low,count,direction,evidence,mean,method_a,method_b,metric,relative_ci95_high_percent,relative_ci95_low_percent,relative_mean_percent,standard_deviation
0.015194729779718212,-0.024909015494003955,5,higher_is_better,five-seed scenario-macro paired mean,-0.004857142857142871,FastSwitchGLOBE,Evo-QGeo (Adapted),overall_pdr,1.8026795186877975,-2.952696753249126,-0.5750086172806642,0.016151783246465903
0.025128550160144827,-0.025842835874430585,5,higher_is_better,five-seed scenario-macro paired mean,-0.00035714285714287807,FastSwitchGLOBE,Evo-QGeo (Adapted),deadline_delivery_ratio,3.0813248262753685,-3.1627882976376105,-0.040731735681121116,0.020528725518857004
0.3265220701532893,-0.18509349872471786,5,lower_is_better,five-seed scenario-macro paired mean,0.07071428571428573,FastSwitchGLOBE,Evo-QGeo (Adapted),p95_success_delay,7.108549192704369,-4.103799947044343,1.502374622830013,0.20605316829222803
0.02716111670575326,-0.2695001237730855,5,lower_is_better,five-seed scenario-macro paired mean,-0.12116950353366614,FastSwitchGLOBE,Evo-QGeo (Adapted),energy_per_delivered_packet,1.226577926711676,-12.030866783033005,-5.402144428160664,0.11948031340059365
245.36021014536212,-216.19078157393355,5,lower_is_better,five-seed scenario-macro paired mean,14.58471428571429,FastSwitchGLOBE,Evo-QGeo (Adapted),mean_policy_input_bytes,3.8087197652730587,-3.3681693610208607,0.22027520212609902,185.88966004445024
0.2732239734486627,0.05090482761369319,5,higher_is_better,five-seed scenario-macro paired mean,0.16206440053117796,FastSwitchGLOBE,RDQN-HERP (Adapted),connected_pair_pdr,47.46061295075654,1.4087807270183212,24.43469683888743,0.0895390350840564
0.2539811164463803,0.056733169267905406,5,higher_is_better,five-seed scenario-macro paired mean,0.15535714285714283,FastSwitchGLOBE,RDQN-HERP (Adapted),overall_pdr,46.16655163521446,3.12184746864666,24.64419955193056,0.07944160992675751
0.34333722820698154,0.08751991465016126,5,higher_is_better,five-seed scenario-macro paired mean,0.21542857142857139,FastSwitchGLOBE,RDQN-HERP (Adapted),deadline_delivery_ratio,80.27719083670345,1.4903193093502125,40.88375507302683,0.10303042199827607
2.150696332913234,1.2021608099439085,5,lower_is_better,five-seed scenario-macro paired mean,1.6764285714285712,FastSwitchGLOBE,RDQN-HERP (Adapted),p95_success_delay,32.93861422999782,21.040017719029,26.98931597451341,0.3820226780318309
1.5113126509502883,0.44632413431315743,5,lower_is_better,five-seed scenario-macro paired mean,0.9788183926317229,FastSwitchGLOBE,RDQN-HERP (Adapted),energy_per_delivered_packet,39.92491388873203,16.358045106160368,28.1414794974462,0.42892412075959846
-1056.7069359247123,-1862.4417783610013,5,lower_is_better,five-seed scenario-macro paired mean,-1459.5743571428568,FastSwitchGLOBE,RDQN-HERP (Adapted),mean_policy_input_bytes,-19.437044123210416,-40.05715551175162,-29.74709981748102,324.50970452586904
0.33510559278654123,0.08772492885128942,5,higher_is_better,five-seed scenario-macro paired mean,0.21141526081891532,FastSwitchGLOBE,GAT-GRU-DDQN,connected_pair_pdr,57.771845908987736,8.88913544440441,33.33049067669607,0.09963256139737998
