block,component,device,latency_ms,order_position,training_seed,variant
17,end_to_end_policy,cpu,0.472446,3,2718,Shortest-Oracle Only
17,end_to_end_policy,cpu,0.450756,4,2718,Fixed Manual Prior
17,end_to_end_policy,cpu,0.472333,5,2718,Teacher+Shortest+Risk
17,end_to_end_policy,cpu,0.445402,6,2718,Existing Phase11 Predictive Prior
18,end_to_end_policy,cpu,0.482943,0,2718,Teacher Distillation Only
18,end_to_end_policy,cpu,0.449552,1,2718,Teacher+Shortest+Risk
18,end_to_end_policy,cpu,0.472987,2,2718,Fixed Manual Prior
18,end_to_end_policy,cpu,0.466107,3,2718,Risk-Oracle Only
18,end_to_end_policy,cpu,0.494578,4,2718,Existing Phase11 Predictive Prior
18,end_to_end_policy,cpu,0.442264,5,2718,Shortest+Risk (No Teacher)
18,end_to_end_policy,cpu,0.473236,6,2718,Shortest-Oracle Only
19,end_to_end_policy,cpu,0.454389,0,2718,Fixed Manual Prior
19,end_to_end_policy,cpu,0.472811,1,2718,Teacher Distillation Only
19,end_to_end_policy,cpu,0.441647,2,2718,Teacher+Shortest+Risk
19,end_to_end_policy,cpu,0.449348,3,2718,Shortest-Oracle Only
19,end_to_end_policy,cpu,0.462346,4,2718,Risk-Oracle Only
19,end_to_end_policy,cpu,0.447769,5,2718,Shortest+Risk (No Teacher)
19,end_to_end_policy,cpu,0.45613,6,2718,Existing Phase11 Predictive Prior
20,end_to_end_policy,cpu,0.468995,0,2718,Teacher+Shortest+Risk
20,end_to_end_policy,cpu,0.463648,1,2718,Fixed Manual Prior
20,end_to_end_policy,cpu,0.448753,2,2718,Shortest+Risk (No Teacher)
20,end_to_end_policy,cpu,0.476813,3,2718,Risk-Oracle Only
20,end_to_end_policy,cpu,0.451286,4,2718,Shortest-Oracle Only
20,end_to_end_policy,cpu,0.470868,5,2718,Teacher Distillation Only
20,end_to_end_policy,cpu,0.445236,6,2718,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.483649,0,2718,Teacher+Shortest+Risk
21,end_to_end_policy,cpu,0.446436,1,2718,Risk-Oracle Only
21,end_to_end_policy,cpu,0.499658,2,2718,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.454235,3,2718,Teacher Distillation Only
21,end_to_end_policy,cpu,0.476062,4,2718,Fixed Manual Prior
21,end_to_end_policy,cpu,0.443381,5,2718,Shortest-Oracle Only
21,end_to_end_policy,cpu,0.468216,6,2718,Shortest+Risk (No Teacher)
22,end_to_end_policy,cpu,0.45489,0,2718,Teacher+Shortest+Risk
22,end_to_end_policy,cpu,0.477906,1,2718,Existing Phase11 Predictive Prior
22,end_to_end_policy,cpu,0.441774,2,2718,Shortest+Risk (No Teacher)
22,end_to_end_policy,cpu,0.448284,3,2718,Teacher Distillation Only
22,end_to_end_policy,cpu,0.458867,4,2718,Fixed Manual Prior
22,end_to_end_policy,cpu,0.439979,5,2718,Shortest-Oracle Only
22,end_to_end_policy,cpu,0.461587,6,2718,Risk-Oracle Only
23,end_to_end_policy,cpu,0.446667,0,2718,Teacher Distillation Only
23,end_to_end_policy,cpu,0.484993,1,2718,Existing Phase11 Predictive Prior
23,end_to_end_policy,cpu,0.437149,2,2718,Teacher+Shortest+Risk
23,end_to_end_policy,cpu,0.468909,3,2718,Shortest-Oracle Only
23,end_to_end_policy,cpu,0.432758,4,2718,Risk-Oracle Only
23,end_to_end_policy,cpu,0.470962,5,2718,Shortest+Risk (No Teacher)
23,end_to_end_policy,cpu,0.443719,6,2718,Fixed Manual Prior
24,end_to_end_policy,cpu,0.481351,0,2718,Teacher Distillation Only
24,end_to_end_policy,cpu,0.437124,1,2718,Fixed Manual Prior
24,end_to_end_policy,cpu,0.462677,2,2718,Existing Phase11 Predictive Prior
24,end_to_end_policy,cpu,0.441466,3,2718,Risk-Oracle Only
24,end_to_end_policy,cpu,0.450669,4,2718,Teacher+Shortest+Risk
24,end_to_end_policy,cpu,0.474068,5,2718,Shortest+Risk (No Teacher)
24,end_to_end_policy,cpu,0.458988,6,2718,Shortest-Oracle Only
25,end_to_end_policy,cpu,0.476985,0,2718,Shortest-Oracle Only
25,end_to_end_policy,cpu,0.452178,1,2718,Fixed Manual Prior
